ItemID,InternalName,EnglishName
1,item_blink,Blink Daggeroo
2,item_blades_of_attack,Blades of Attack
3,item_broadsword,Broadsword
4,item_chainmail,Shitty Platemail
5,item_claymore,Claymore
6,item_helm_of_iron_will,Helm of Iron Will
7,item_javelin,Javelin
8,item_mithril_hammer,Mithril Hammer
9,item_platemail,Platemail
10,item_quarterstaff,Quarterstaff
11,item_quelling_blade,Quelling Blade
12,item_ring_of_protection,Ring of Protection
13,item_gauntlets,Gauntlets of Strength
14,item_slippers,Slippers of Agility
15,item_mantle,Mantle of Intelligence
16,item_branches,V.A.L.U.E.
17,item_belt_of_strength,Championship Belt 2024
18,item_boots_of_elves,Band of Elvenskin
19,item_robe,Robe of the Magi
20,item_circlet,LGBTQ+ Crown
21,item_ogre_axe,Ogre Club
22,item_blade_of_alacrity,Yasha at Home
23,item_staff_of_wizardry,Staff of Wizardry
24,item_ultimate_orb,Ultimate Ball
25,item_gloves,Gloves of Haste
26,item_lifesteal,Morbin Mask
27,item_ring_of_regen,Ring of Regen
28,item_sobi_mask,Jared Mask
29,item_boots,Shoe of Speed
30,item_gem,Gem of True Sight
31,item_cloak,Cloak
32,item_talisman_of_evasion,Talisman of Evasion
33,item_cheese,Cheese
34,item_magic_stick,Twinkly Sticc
35,item_recipe_magic_wand,Magic Wand Recipe
36,item_magic_wand,Twinkly Wand
37,item_ghost,Ghost Scepter
38,item_clarity,Claritar
39,item_flask,I FUCKING LOVE LEAN
40,item_dust,Dust of Appearance
41,item_bottle,Cask of Amontillado
42,item_ward_observer,Observer Ward
43,item_ward_sentry,Sentrus Ward
44,item_tango,Tree Juice
45,item_courier,Animal Courier
46,item_tpscroll,Town Portal Scroll
47,item_recipe_travel_boots,Boots of Travel Recipe
48,item_travel_boots,Shoe of Travel
50,item_phase_boots,Phase Shoe
51,item_demon_edge,Demon Edge
52,item_eagle,Eaglesong
53,item_reaver,Reaver
54,item_relic,Sacred Relic
55,item_hyperstone,Methstone
56,item_ring_of_health,Ring of Health
57,item_void_stone,Void Stone
58,item_mystic_staff,Mystic Staff
59,item_energy_booster,Energy Booster
60,item_point_booster,Point Booster
61,item_vitality_booster,Vitality Booster
63,item_power_treads,Power Shoe
64,item_recipe_hand_of_midas,Hand of Midas Recipe
65,item_hand_of_midas,Passive Item
67,item_oblivion_staff,Oblivion Staff
69,item_pers,Perseverance
71,item_poor_mans_shield,Poor Man's Shield
72,item_recipe_bracer,Bracer Recipe
73,item_bracer,Stat Dense Item
74,item_recipe_wraith_band,Wraith Band Recipe
75,item_wraith_band,Wrath Band
76,item_recipe_null_talisman,Null Talisman Recipe
77,item_null_talisman,Null Talisman
78,item_recipe_mekansm,Mekansm Recipe
79,item_mekansm,Mekansm
80,item_recipe_vladmir,Vladmir's Offering Recipe
81,item_vladmir,Vladmir's Offering
85,item_recipe_buckler,Buckler Recipe
86,item_buckler,Buckler
87,item_recipe_ring_of_basilius,Ring of Basilius Recipe
88,item_ring_of_basilius,Ring of Basilius
89,item_recipe_pipe,Pipe of Insight Recipe
90,item_pipe,Juul of Insight
91,item_recipe_urn_of_shadows,Urn of Shadows Recipe
92,item_urn_of_shadows,Jared Urn
93,item_recipe_headdress,Headdress Recipe
94,item_headdress,Headdress
96,item_sheepstick,Sheepstick
97,item_recipe_orchid,Orchid Malevolence Recipe
98,item_orchid,Orchid Malevolence
99,item_recipe_cyclone,Eul's Scepter Recipe
100,item_cyclone,Yule's Stick of Divspinnity
101,item_recipe_force_staff,Force Staff Recipe
102,item_force_staff,Push Stick
103,item_recipe_dagon,Dagon Recipe
104,item_dagon,Dagon
108,item_ultimate_scepter,Aghsanim's Scepter
109,item_recipe_refresher,Refresher Orb Recipe
110,item_refresher,Refresher Orb
111,item_recipe_assault,Assault Cuirass Recipe
112,item_assault,Communist Platemail
113,item_recipe_heart,Heart of Tarrasque Recipe
114,item_heart,Heart of Tarrasque
115,item_recipe_black_king_bar,Black King Bar Recipe
116,item_black_king_bar,Urban King Bar
117,item_aegis,License to be retarded
118,item_recipe_shivas_guard,Shiva's Guard Recipe
119,item_shivas_guard,Shiva's Gourd
120,item_recipe_bloodstone,Bloodstone Recipe
121,item_bloodstone,Blyatstone
122,item_recipe_sphere,Linken's Sphere Recipe
123,item_sphere,Linken's Sphere
125,item_vanguard,Mannguard
126,item_recipe_blade_mail,Blade Mail Recipe
127,item_blade_mail,Blade Mail
129,item_soul_booster,Soul Booster
133,item_rapier,Divine Rapier
134,item_recipe_monkey_king_bar,Monkey King Bar Recipe
135,item_monkey_king_bar,Jingu Bingu Bar
137,item_radiance,Radiance
139,item_butterfly,Butterfly
140,item_recipe_greater_crit,Daedalus Recipe
141,item_greater_crit,Deadalus
142,item_recipe_basher,Skull Basher Recipe
143,item_basher,Skull Basher
